house_title,price,more_details_link,location
4 Bed Villa with En Suite in Kitengela,"KSh 13,500,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-kitengela-3773993,Kitengela
4 Bed House with En Suite at Portreitz,"KSh 28,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mombasa-cbd-3666798,"Bahari Estate, Portreitz, Mombasa CBD, Mombasa Island"
4 Bed Villa with En Suite at Kanamai Area,"KSh 11,000,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-mtwapa-3769050,"Kanamai Area, Mtwapa"
4 Bed Townhouse with Gym in Langata,"KSh 39,900,000",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-langata-3787858,Langata
4 Bed House with En Suite at Taveta Road,"KSh 45,000,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kahawa-sukari-3684399,"Taveta Road, Kahawa Sukari, Roysambu"
5 Bed House with En Suite at Thigiri Close,"KSh 165,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-thigiri-3732562,"Thigiri Close, Thigiri, Westlands"
7 Bed House with En Suite in Karen,"KSh 130,000,000",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-karen-3785787,Karen
4 Bed Villa with En Suite at Mombasa Road,"KSh 30,480,000",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-athi-river-area-3789760,"Mombasa road, Athi River"
4 Bed House with En Suite at Mombasa Road,"KSh 25,480,000",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-athi-river-area-3789758,"Mombasa road, Athi River"
3 Bed Townhouse with En Suite at Mombasa Road,"KSh 22,480,000",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-athi-river-area-3789752,"Mombasa Road, Athi River"
3 Bed Townhouse with Staff Quarters at Mombasa Road,"KSh 18,180,000",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-athi-river-area-3789749,"Mombasa Road, Athi River"
5 Bed House with En Suite at Eliud Mathu,"KSh 130,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3789020,"34, Eliud mathu, Runda, Westlands"
5 Bed House with En Suite at Eliud Mathu,"KSh 135,000,000",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3789481,"30, Eliud mathu, Runda, Westlands"
